operator,trayek,kode,nama_trayek,lintasan,jumlah_kendaraan,jumlah_trayek
PT. Mayasari Bakti,Patas AC,AC03,TG PRIOK - KL DERES,TERM TG PRIOK - ENGGANO - Y SUDARSO - BERPUTAR MSK T PLUMPUNG - TOL DALAM KOTA - KEL  JEMB 3 - LATUMENTTEN - DAAN MOGOT - TERM KL DERES,1,1
PT. Mayasari Bakti,Patas AC,AC04,KP.RAMBUTAN -KOTA,TERM KP RAMBUTAN - TB SIMATUPANG - TOL JAGORAWI - SUTOYO - DI PANJAITAN - A.YANI -  SUPRAPTO - KRAMAT  BUNDER - SENEN RAYA - DR WAHIDIN - GN SAHARI - MANGGA DUA - PINTU  BESAR UTR - KOTA /BNI 46,1,1
PT. Mayasari Bakti,Patas AC,AC05,TERM BLOK M - BEKASI/TOL,TERM BLOK M - HASANUDDIN - PATIMURA - SUDIRMAN - SEMANGGI - TOL GT SUBROTO - TOL  CAWANG / BKS - CUT MUTIAH - TERM BEKASI -,34,1
PT. Mayasari Bakti,Patas AC,AC05A,TERM BLOK M - BEKASI,TERM BLOK M - SISINGAMANGARAJA - SEMANGGI - TOL DALAM KOTA - TOL CIKAMPEK - TOL  JATIASIH - TERM BEKASI,1,1
PT. Mayasari Bakti,Patas AC,AC06,P.GADUNG - BLOK M,TERM P GADUNG - RAYA BEKASI - PEMUDA - A. YANI - DI PANJAITAN - MT HARYONO - GT SUBROTO -  KAPT TENDEAN - W.MONGENSIDI - ISKANDARSYAH - MELAWAI - TRUNOJOYO - TERM BLOK M,3,1
PT. Mayasari Bakti,Patas AC,AC07,KP RAMBUTAN - TG PRIOK,TERM KP RAMBUTAN - TB SIMATUPANG - TOL JAGORAWI - SUTOYO - DI PANJAITAN - A.YANI - YOS  SUDARSO - ENGGANO - TERM TG PRIOK,5,1
PT. Mayasari Bakti,Patas AC,AC115,TERM P.GADUNG - CIMONE,TERM P GADUNG - PERINTIS KM - A YANI - TOL WIYOTO W - TOL DLM KOTA - S PARMAN - TOL KBN  JERUK - KBN NANAS - TERM CIMONE,11,1
PT. Mayasari Bakti,Patas AC,AC116,TERM SENEN - BSD SERPONG,TERM SENEN - BUNGUR - KRAMAT BDR - SENEN RAYA - KWINI I - KWITANG - R SAID - MERDEKA TMR -  MERDEKA UTR - S PRANOTO - TOMANG RAYA - MSK TOL KBN JERUK - TOL JKT /TGR - KEL TOL K  NANAS - SERPONG - BSD SERPONG,13,1
PT. Mayasari Bakti,Patas AC,AC121,TERM BLOK M - TERM CIKARANG,TERM BLOK M - S HASANUDDIN - PATIMURA - SUDIRMAN - SEMANGGI MASUK - PNT TOL SEMANGGI - TOL CAWANG/CKP - KEL PINTU TOL CIKARANG - TERM CIKARANG,17,1
PT. Mayasari Bakti,Patas AC,AC122,TERM SENEN - CIKARANG,TERM SENEN - BUNGUR - KRAMAT BUND - KRAMAT RAYA - SALEMBA RAYA - MATRAMAN RAYA -  BEKASI BRT - DI PANJAITAN - MSK PNT TOL - CAWANG - TOL CAWANG/CIKAMPEK - TERM CIKARANG,14,1
PT. Mayasari Bakti,Patas AC,AC123,TERM GROGOL - TERM CIKARANG,TERM GROGOL - KYAI TAPA - S PARMAN - MSK PNT TOL TOMANG - MSK PNT TOL  CAWANG/CIKAMPEK - TOL CAWANG / CIKAMPEK - KELUAR PINTU TOL CIKARANG - TERM CIKARANG,5,1
PT. Mayasari Bakti,Patas AC,AC125,TERM KALIDERES - CIKARANG,TERM KL DERES - DAAN MOGOT - S PARMAN - MASK PNT TOL TOMANG - MSK PNT TOL CIKAMPEK -  TOL CIKAMPEK - TERM CIKARANG,15,1
PT. Mayasari Bakti,Patas AC,AC129,TERM LB BULUS - TERM CIKARANG,TERM LB BULUS - RAYA LB BULUS - TB SIMATUPANG - RAYA BOGOR - SUTOYO - MSK PNT TOL  CAWANG - TOL CIKAMPEK - TERM CIKARANG,5,1
PT. Mayasari Bakti,Patas AC,AC130,KP RAMBUTAN - CIKARANG,TERM KP RAMBUTAN - TB SIMATUPANG - RAYA BOGOR - SUTOYO - MSK PNT TOL  CAWANG/CIKAMPEK - TOL CAWANG.CKP - KELUAR PNT TOL CIBITUNG - TERM CIKARANG,4,1
PT. Mayasari Bakti,Patas AC,AC131,PS.BARU - TERM CIKARANG,PS BARU - GN SAHARI - PS SENEN - KRAMAT RAYA - SALEMBA RAYA - PRAMUKA - DI PANJAITAN - TOL  CAWANG/CIKAMPEK - TERM CIKRANG,5,1
PT. Mayasari Bakti,Patas AC,AC132,TERM LB BULUS - TERM BEKASI,TERM LB BULUS - RAYA LB BULUS - TB SIMATUPANG - MSK TOL TB SIMATUPANG - TOL JAGORAWI -  MAYJ SUTOYO - TOL CAWANG/CIKAMPEK - KELUAR PNT TOL BEKASI TIMUR - IR JUANDA - TERM  BEKASI,9,1
PT. Mayasari Bakti,Patas AC,AC133,TNH ABANG - CIMONE/TGR,TNH ABANG - JATI BARU - KBN SIRIH - MH THAMRIN - SUDIRMAN - SEMANGGI - GT SUBROTO - S  PARMAN - MSK PNT TOL  KBN JERUK - KELUAR PNT TOL KARAWACI - TERM CIMONE/TGR,4,1
PT. Mayasari Bakti,Patas AC,AC134,TERM SENEN - TERM DEPOK,TERM SENEN - BUNGUR - KRAMAT BDR - SUPRAPTO - A.YANI - MSK PNT TOL PULO MAS - TOL  W.WIYONO - TOL TMII - TB SIMATUPANG - LT AGUNG - MARGONDA RAYA - TERM DEPOK,10,1
PT. Mayasari Bakti,Patas AC,AC135,TG PRIOK - CIPUTAT,TERM TG PRIOK - ENGGANO - YOS SUDARSO - TOL W.WIYONO - TOL TMII - TB SIMATUPANG - KLR  PNT TOL CILANDAK - TB SIMATUPANG - LB BULUS - CIPUTAT RAYA - TERM CIPUTAT,6,1
PT. Mayasari Bakti,Patas AC,AC137,TERM BLOK M - TERM CIBINONG,TERM BLOK M - PATIMURA - SUDIRMAN - SEMANGGI - GT.SUBROTO - MSK PINTU TOL - SEMANGGI I -  TOL DLM KOTA - TOL JAGORAWI - KLR TOL CIBINANG - TERM BLOK M,6,1
PT. Mayasari Bakti,Patas AC,AC137A,TERM BLOK M - TERM CILEUNGSI,TERM BLOK M - JL PATIMURA - JL JEND SUDIRMAN - SEMANGGI - JL GT SUBROTO - MASUK PINTU  TOL SEMANGGI 1 - TOL DALAM KOTA - TOL JAGORAWI - KELUAR TOL CIBUBUR - JL ARTERI CIBUBUR -  TERM CILEUNGSI,6,1
PT. Mayasari Bakti,Patas AC,AC24,TERM SENEN - BEKASI,TERM SENEN - KRAMAT RAYA - SALEMBA RAYA - MTRAMAN RAYA - JATINEGARA TIMUR - A.YANI - DI  PANJAITAN - TOL CIKAMPEK - TERM BEKASI,12,1
PT. Mayasari Bakti,Patas AC,AC24A,TERM. SENEN - BEKASI Via JATI ASIH,TERM. SENEN - KRAMAT RAYA - SALEMBA RAYA - MATRAMAN RAYA - JATINEGARA TIMUR - DI.  PANJAITAN - TOL WIYOTO WIYONO - TOL CIKAMPEK - TOL JORR - PINTU TOL JATI ASIH - TOL  CIKAMPEK - TERM. BEKASI - PP.,6,1
PT. Mayasari Bakti,Patas AC,AC25,TERM TG.PRIOK - BEKASI,TERM TG PRIOK - ENGGANO - YOS SUDARSO - TOL W.WIYONO - TOL CIKAMPEK - TERM BEKASI,10,1
PT. Mayasari Bakti,Patas AC,AC26,TERM GROGOL - BEKASI,TERM GROGOL - S.PARMAN - GT. SUBROTO - MT.HARYONO - TOL DALAM KOTA - TOL CIKAMPEK -  TERM BEKASI,6,1
PT. Mayasari Bakti,Patas AC,AC27,KOTA - BEKASI,KOTA (JL.LADA) - LADA - RAYA MANGGA DUA - GN SAHARI - RAN WAY PRJK - TANAH TINGGI TMR -  SUPRAPTO - A.YANI - TOL W.WIYONO - TOL CIKAMPEK - M JOYOMARTONO - IR JUANDA - TERM  BEKASI,10,1
PT. Mayasari Bakti,Patas AC,AC28,TERM BLOK M - BEKASI,TERM BLOK M - ST HASANUDDIN - W MONGONSIDI - TENDEAN - GT SUBROTO - TOL DALAM KOTA -  TOL CIKAMPEK - TERM BEKASI,2,1
PT. Mayasari Bakti,Patas AC,AC29,TERM KL DERES - BEKASI,TERM KL DERES - RAYA DAAN MOGOT - S PARMAN - TOL DALAM KOTA - TOL CIKAMPEK - TERM  BEKASI,18,1
PT. Mayasari Bakti,Patas AC,AC29A,TERM KALIDERES -  TERM BEKASI,TERM KALIDERES - DAAN MOGOT - S PARMAN - TOL DALAM KOTA - TOL CIKAMPEK - TOL JATIASIH -  TERM BEKASI,3,1
PT. Mayasari Bakti,Patas AC,AC33,TERM GROGOL - TANGGERANG,TERM GROGOL - KYAI TAPA - CIDENG TMR - K CARINGIN - TOMANG RAYA - MAK TOL K JERUK - TOL  JKT/TGR - KEL TOL ISLAMIC - PERUM - PERUM KARAWACI - TANGGERANG,14,1
PT. Mayasari Bakti,Patas AC,AC34,TERM BLOK M - TERM CIMONE/TGR,TERM BLOK M - HASANUDDIN - PATIMURA - SUDIRMAN - SEMANGGI - TOL GT SUBROTO - S PARMAN - TOL JKT/TGR - TERM CIMONE,39,1
PT. Mayasari Bakti,Patas AC,AC35,TERM SENEN - CILEDUK,TERM SENEN - KRAMAT RAYA - SALEMBA RAYA - PROKLAMASI - P DIPONEGORO - IMAM BONJOL -  JEND SUDIRMAN - HANGLEKIR - PAKUBUWONO - KBY LAMA - RAYA CILEDUK - TERM CILEDUK,7,1
PT. Mayasari Bakti,Patas AC,AC41,TERM LB BULUS - TERM PORIS PLAWAD PP,TERM LB BULUS - JL RAYA CIPUTAT - JL TB SIMATUPANG - TOL VETERAN - TOL PONDOK AREN - TOL  BINTARO - TOL BSD - JL RAYA SERPONG - TOL KARAWACI - TERM PORIS PLAWAD,11,1
PT. Mayasari Bakti,Patas AC,AC42,P GADUNG - CILEUNGSI,TERM P GADUNG - P KEMERDEKAAN - A.YANI - MSK TOL CEMPPUT - TOL DLM KOTA - TOL JAGORAWI -  KEL TOL CIBUBUR - ALT CIBUBUR - TERM CILEUNGSI,20,1
PT. Mayasari Bakti,Patas AC,AC43,TERM GROGOL - TERM CIBINONG,TERM GROGOL - KYAI MAJA - S PARMAN - MSK PNT TOL POLRES JAKBAR - TOL DLM KOTA - TOL TMII -  TOL JAGORAWI - KELUAR PNT TOL - CIBINONG - MAYOR OKING - NURDIN - TERM CIBINONG,15,1
PT. Mayasari Bakti,Patas AC,AC49,TERM TG PRIOK - BLOK M,TERM TG PRIOK - ENGGANO - YOS SUDARSO - BERPUTAR DI PODOMORO - MSK PNT TOL DALAM  KOTA - TOL PELABUHAN - TURUN PINTU TOL SLIPI - S PARMAN - GT.SUBROTO - SEMANGGI -  SUDIRMAN - S.MANGARAJA - P POLIM - TERM BLOK M,13,1
PT. Mayasari Bakti,Patas AC,AC50,KP MELAYU - KL DERES,TERM KP MELAYU - MATRAMAN RAYA - MATRAMAN DALAM - PROKLAMASI - P DIPONEGORO -  IMAM BONJOL - JEND SUDIRMAN - GT SUBROTO - S PARMAN - RAYA DAAN MOGOT - TERM KL DERES,7,1
PT. Mayasari Bakti,Patas AC,AC51,P GADUNG - KL DERES,TERM P GADUNG - P KEMERDEKAAN - YOS SUDARSO - MSK PNT TOL HONDA - TOL W.WIYONO -  JEMBATAN III - LATUMENTEN - DAAN MOGOT - TERM KL DERES,7,1
PT. Mayasari Bakti,Patas AC,AC52,TNH ABANG - BEKASI,TANAH ABANG - JATI BARU - K SIRIH - MH THAMRIN - JEND SUDIRMAN - GT.SUBROTO - TOL DALAM  KOTA - TOL CIKAMPEK - TERM BEKASI,20,1
PT. Mayasari Bakti,Patas AC,AC61,P GADUNG - CILEDUK,TERM P GADUNG - P KEMERDEKAAN - A.YANI - TOL W WIYONO - TOL DLM KOTA - KEL TOL KOMDAK -  SUDIRMAN - BUND SENAYAN - KYAI MAJA - PAKUBUWONO - KBY LAMA - RAYA CILEDUK - TERM  CILEDUK,6,1
