operator,trayek,kode,nama_trayek,lintasan,jumlah_kendaraan,jumlah_trayek
PT. Mayasari Bakti,Patas,P9A,SENEN - BEKASI/TOL,TERM SENEN - KRAMAT RAYA - SALEMBA - MATRAMAN RAYA - JATINEGARA TMR - A.YANI - TOL  CAWANG - TOL BEKASI - TERM BEKASI,27,1
PT. Mayasari Bakti,Patas,P9B,KP.RAMBUTAN - BEKASI/CKR,TERM KP.RAMBUTAN - TB SIMATUPANG - RAYA BOGOR - KRAMAT JATI - SUTOYO - TOL CAWANG -  BEKASI - TOL CIBITUNG - CIKARANG - TERM BEKASI,16,1
PT. Bianglala Metropolitan,Patas AC,AC143,TERM GROGOL - DEPOK,TERM GROGOL - KYAI TAPA - S PARMAN - MSK TOL TOMANG - TOL DALAM KOTA - KEL P SENAYAN -  GT SUBROTO - SEMANGGI - SUDIRMAN - S MANGARAJA - P POLIM - FATMAWATI - TB SIMATUPANG -  LT AGUNG - MARGONDA RAYA - TERM DEPOK,7,1
PT. Bianglala Metropolitan,Patas AC,AC44,TERM SENEN - CILEDUG,TERM SENEN - ST SENEN - MEDAN SENEN - SENEN RAYA - LAP BANTENG TMR - LAP BANTENG UTARA - LAP BANTENG BRT - PEJAMBON - MERDEKA TIMUR - MERDEKA UTR - MERDEKA BRT - MH THAMRIN -  JEND SUDIRMAN - HANGLEKIR - PAKUBUWONO VI -JL BUMI - KEB LAMA - RAYA CILEDUG - TERM  CILEDUG,30,1
PT. Bianglala Metropolitan,Patas AC,AC76,TERM SENIN - PAMULANG,TERM SENIN - ST SENEN - KRAMAT BUNDER - SALEMBA RAYA - PROKLAMASI - P DIPONOGORO -  IMAM BONJOL - JEND SUDIRMAN - S MANGARAJA - PANGLIMA POLIM - RS FATMAWATI - TB  SIMATUPANG - LB BULUS - PS JUMAT - CIPUTAT RAYA - DEWI SARTIKA - PAMULANG RAYA -  PAMULANG,4,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC140,BEKASI - KEMAYORAN,TERM BEKASI - IR JUANDA - JOYOMARTONO - BEKASI TMR - TOL CIKAMPEK - TOL DLM KOTA - KEL GT  ANCOL - R MARTADINATA - GN SAHARI - MANGGA DUA RAYA - P JAYAKARTA - ANGKASA -  KEMAYORAN,10,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC141,TERM BEKASI - TNH ABANG,TERM BEKASI - JL IR JUANDA - JL JOYOMARTONO - MSK TOL BKS TMR  - TOL CAWANG/CKP - KEL TOL  HALIM - JL SUTOYO - PUTAR DPN KODAM - JL SUTOYO - JL DI PANJAITAN - CASSABLANCA - JL DR  SATRIO - JL KHM MANSYUR - TANAH ABANG,5,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC144,CILEUNGSI - LB BULUS,CILEUNGSI - RAYA ALT CIBUBUR - MS TOL CIBUBUR - TOL JAGORAWI - KL TOL KP RAMBUTAN - TOL L  LUAR S - KL TOL PD PINANG 2 - RA KARTINI - PS JUMAT - TERM LB BULUS,5,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC145,BEKASI - RAWAMANGUN,TERM BEKASI - IR JUANDA - J MARTONO - MSK TOL BKS TMR - TOL CAWANG/CKP - TO L L - KEL TOL  CAK SEL - BEKASI RAYA - P KEMERDEKAAN - KAYU PUTIH - BALAP SEPEDA - VELODROME - PAUS -  TERM RW MANGUN,5,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC146,BEKASI - RAWA MANGUN,TERM BEKASI - CUT MUTIAH - A YANI - MSK TOL BEKASI BRT - TOL CAWANG/CKP - TOL W WITONO -  KEL TOL RW MANGUN - A YANI - P KEMERDEKAAN - KAYU PUTIH - PAUS - TERM RW MANGUN,5,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC147,BEKASI - KP MELAYU,TERM BEKASI - CUT MUTIAH - A YANI - MSK TOL BEKASI BRT - TOL CAWANG/CKP - KEL TOL HAKIM -  MT HARYONO - OTISTA RAYA - JINGR BRT - TERM KP MELAYU,5,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC148,CILEUNGSI - TNH ABANG,TER CILEUNGSI - JL ALT SIBUBUR - MSK TOL CIBUBUR - TOL JAGORAWI - KEL TOL CAWANG - JL  SUTOYO - JL DI PANJAITAN - CASSABLANCA - JL DR SATRIO - JL KHM MANSYUR - TNH ABANG,5,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC149,TERM PS MINGGU - TERM BEKASI,TERM PS MINGGU - JL PS MINGGU - JL MT HARYONO - MASUK GT PD GEDE-TOL CAWANG/CIKAMPEK - KELUAR GT BEKASI TIMUR - JL MH JOYOMARTONO - JL IR H JUANDA - TERM BEKAS,10,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC150,BLOK M - CIBINONG,TERM BLOK M-JL HASANUDIN-JL SISINGAMANGARAJA-JL P. POLIM-JL FATMAWATI-JL TB.  SIMATUPANG-MASUK GT FATMAWATI TIMUR-TOL TB. SIMATUPANG-TOL JAGORAWI-KELUAR GT  CITEREUP/CIBINONG-JL MAYOR OKING-TERM CIBINONG,10,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC151,BLOK M - BSD/TGR,TERM BLOK M-JL HASANUDIN-JL SISINGAMANGARAJA-JL P. POLIM-JL FATMAWATI-JL TB.  SIMATUPANG-MASUK GT FATMAWATI BARAT-TOL TB. SIMATUPANG-KELUAR GT PD AREN BARAT-  TOL SERPONG/JKT-JL LETJEN SUTOPO-TERM BSD/TGR,10,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC153,TERM TJ PRIOK - TERM BEKASI (VIA TOL TIMUR),TERM TJ PRIOK - JL ENGGANO - JL SULAWESI - JL JAMPEA - JL RAYA CAKUNG CILINCING - GT CAKUNG - TOL CIKAMPEK - GT BEKASI TIMUR - JL JOYO MARTONO - JL IR H JUANDA - TERM BEKASI,9,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC154,BUMI SERPONG DAMAI (BSD) - TERM TJ PRIOK,BUMI SERPONG DAMAI (BSD) - MASUK TOL SERPONG - TOL JAGORAWI - TOL DALAM KOTA (WIYOTO  WIYONO) - KELUAR TOL PRIOK - YOS SUDARSO - ENGGANO - TERMINAL TJ PRIOK,5,1
PT. Sinar Jaya Megah Langgeng,Patas AC,AC155,BUMI SERPONG DAMAI (BSD) - TERM KALIDERES,BUMI SERPONG DAMAI (BSD) - JL RAYA SERPONG - MASUK TOL MERAK JAKARTA - KELUAR TOMANG -  S PARMAN - DAAN MOGOT - TERMINAL KALIDERES,5,1
PT. Daya Sentosa Utama,Patas,P157,TERM SENEN - TERM PORIS/TGR,TERM SENEN - JL SENEN RAYA - JL KWINI II - JL PEJAMBON - JL MERDEKA TMR - JL MERDEKA UTR - JL  MAJAPAHIT - JL S PRANOTO - JL CIDENG BRT - BERPUTAR - JL CIDENG TMR - JL KYAI TAPA - JL S  PARMAN - MASUK GT KB JERUK - TOL JKT / TGR - KELUAR GT KARAWACI - JL IMAM BONJOL/TGR - JL  SUDIRMAN/TGR - JL B BETAWI - TERM PORIS/TGR,23,1
PT. Jasa Utama,Reguler,973,RW MANGUN - GROGOL,TERM RW MANGUN - PERSAHABATAN - BALAI PUSTAKA - PEMUDA - PRAMUKA - PROKLAMASI -  DIPONEGORO - IMAM BONJOL - MH THAMRIN - KB SIRIH - JATI BARU - KHM MANSYUR (UNDDER  PASS) - PENJERNIHAN - S PARMAN - KYAI TAPA - TERM GROGOL,9,1
PT. Jasa Utama,Patas,P125,TG PRIOK - TOSARI,TG PRIOK - MARTADINATA - G SAHARI - SUTOMO - PEJAMBON - MERDEKA TMR - MERDEKA UTARA -  MERDEKA BRT - MH THAMRIN - JEND SUDIRMAN - BERPUTAR DI TOSARI,10,1
PT. Jasa Utama,Patas,P154,TERM GROGOL - LT AGUNG,TERM GROGOL - JL KYAI TAPA - JL S PARMAN - MSK TOL TOMANG - TOL DALAM KOTA - TOL  JAGORAWI - TOL TB SIMATUPANG - KEL TOL LT AGUNG - LT AGUNG,12,1
PT. Jasa Utama,Patas,P155,TERM PS MINGGU - PRJK,TERM PS MINGGU - RY PS MINGGU - MT HARYONO - DI PANJAITAN - MSK TOL PENAS - TOL WIYOTO  WIYONO - KEL TOL PLUMPANG - Y SUDARSO - ENGGANO - RE MARTADINATA - BENYAMIN SUEB -  PRJK,11,1
PT. Jasa Utama,Patas,P159,TG PRIOK - GROGOL PP,TERM TG PRIOK - JL RE MARTADINATA - JL GN SAHARI - JL MANGGA BESAR RY - JL HAYAM WURUK  -  JL GAJAH  MADA - JL IR H JUANDA (BERPUTAR) - JL VETERAN - JL VETERAN III - JL MERDEKA UTARA -  JL MAJAPAHIT -  JL HASYIM AZHARI - JL KYAI TAPA - TERM GROGOL,12,1
PT. Koda Jaya AJAP,Patas AC,AC119,KP MELAYU - TANGGERANG,TERM KP MELAYU - JL OTISTA - JL MT HARYONO - MSK PINTUT TOL DLM KOTA CIKOKOL - KEL  CIKOKOL / TGR - TANGGERANG,28,1
